painting_no,technique_id,height_cm,width_cm,radius_cm,year,material_id,artist_id,owner_id,photo,AÇIKLAMA
579,1,25,35,,2008,2,1,1,,
580,1,25,35,,2005,3,1,1,,
581,1,25,35,,2005,3,1,1,,
582,1,25,35,,2005,3,1,1,,
583,1,22,30,,2005,3,1,1,,
584,1,25,32,,2008,3,1,1,,
585,1,"24,5",35,,2005,3,1,1,,
586,1,25,35,,2006,3,1,1,,
587,1,25,33,,1995,3,1,1,,
588,1,"24,5",30,,2008,3,1,1,,
589,1,25,"29,5",,2005,3,1,1,,
590,1,25,29,,2005,3,1,1,,
591,1,"23,5","29,5",,2006,3,1,1,,
592,1,24,30,,2008,2,1,1,,
593,1,"24,5","29,5",,2008,3,1,1,,
594,1,25,"29,5",,,3,1,1,,
595,1,25,"29,5",,2005,3,1,1,,
596,1,25,32,,2006,3,1,1,,
597,1,25,32,,2005,3,1,1,,
598,1,28,38,,1995,2,1,1,,
599,1,25,29,,2005,3,1,1,,
600,1,25,"29,5",,2008,3,1,1,,
601,1,"24,5","29,5",,2008,3,1,1,,
602,1,24,32,,2005,3,1,1,,
603,1,23,32,,2008,2,1,1,,
604,1,24,28,,2008,6,1,1,,
605,1,25,"31,5",,2008,2,1,1,,
606,1,20,"32,5",,2008,2,1,1,,
607,1,"17,5",25,,2008,2,1,1,,
608,1,22,"29,5",,2008,2,1,1,,
609,1,25,"29,5",,2008,3,1,1,,
610,1,25,"31,5",,2008,3,1,1,,
611,1,25,"29,5",,2005,3,1,1,,
612,1,21,"29,5",,2009,3,1,1,,
613,1,25,"29,5",,2005,3,1,1,,
614,1,"25,5",33,,2008,2,1,1,,
615,6,14,28,,2010,2,1,1,,
616,6,11,"32,5",,2010,2,1,1,,
617,6,11,"26,5",,2010,2,1,1,,
618,6,13,19,,2011,2,1,1,,
619,6,11,14,,2011,2,1,1,,
620,6,10,24,,2010,2,1,1,,
621,6,"9,5",20,,2011,2,1,1,,
622,6,"10,5",23,,2011,2,1,1,,
623,6,9,"21,5",,2010,2,1,1,,
624,6,"15,5",16,,2010,2,1,1,,
625,1,"10,5",31,,1995,2,1,1,,
626,6,10,20,,2011,2,1,1,,
627,1,22,35,,2008,3,1,1,,
628,1,30,30,,1995,3,1,1,,
629,1,20,34,,2001,3,1,1,,
630,1,25,35,,2008,2,1,1,,
631,1,22,35,,2012,6,1,1,,
632,1,25,30,,2008,6,1,1,,
633,1,23,33,,2009,6,1,1,,
634,1,23,"25,5",,2008,6,1,1,,
635,1,17,25,,2010,6,1,1,,
636,9,22,"35,5",,2012,6,1,1,,
637,1,"20,5",31,,2012,6,1,1,,
638,6,22,40,,2013,2,1,1,,
639,6,22,"36,5",,2013,2,1,1,,
640,6,"27,5",45,,2013,2,1,1,,
